id,Tweet,following,followers,actions,is_retweet,tweet_url
19,'É também o último dia que têm para participar na giveaway! Irei anunciar o vencedor amanhã 💜 https://t.co/HpGMsRrn3m',1691,4345,1,False,https://twitter.com/seokjinportugal/status/1467118219978809346
20,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',101,3,1021,True,https://twitter.com/flackpolo/status/1467117941867094027
21,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',47,0,1157,True,https://twitter.com/NicholasSoo6/status/1467114551116124167
22,'🪐 | #GIVEAWAY - TWEET OFICIALKEP1ER “FIRST IMPACT” GIVEAWAY!🔺Mencione 3 (três) users nos comentários deste tweet, siga @KEP1ER_PORTAL &amp; @AkiyamaStore, dê RT neste tweet;🔺É possível participar quantas vezes desejar;🔺O participante precisa residir no Brasil.Boa sorte 💜 https://t.co/A65qHonowU',33,14,100,True,https://twitter.com/asbugAboo/status/1467108851124211717
23,'Alguma vez você já ganhou um item raro e teve vontade de compartilhar com um amigo? É exatamente isso que estamos fazendo com @LogitechG!Participe do nosso #HolidayMagic e concorra à uma edição especial Pro Wireless Mouse e um Headset A40.Acesse: https://t.co/T3wAABdf9R https://t.co/GS8A41JF18',81,102,13,True,https://twitter.com/Gabrielthr18/status/1467107646889201666
24,'Olá pessoal, tô fazendo um Giveaway, vou colocar os produtos aqui em baixo. Para o pessoal de SP eu posso encontrar no metrô, agora para o pessoal de fora podemos ver o frete, segue o fio:',638,299,0,False,https://twitter.com/ngadeandrade/status/1467107072890355720
25,'@TWICE_Giveaway @JYPETWICE sana mimosa#SCIENTIST  #TWICE   @JYPETWICE #트와이스 https://t.co/RQU7OUrS8Z',31,7,1,True,https://twitter.com/iamaiyanagida/status/1467106920255606786
26,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',229,0,1021,True,https://twitter.com/PauloH50M/status/1467106215184547840
27,'@TWICE_Giveaway @JYPETWICE sana mimosa#SCIENTIST  #TWICE   @JYPETWICE #트와이스 https://t.co/RQU7OUrS8Z',997,1046,1,False,https://twitter.com/tzushines/status/1467106005972504576
28,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',57,0,1157,True,https://twitter.com/ShadowMasterhs/status/1467105237450297348
29,'@gate_io @samoyedcoin @jisuzon@nizamul1233 @Robin0199124telegram : @Nazmulkt#Gateio #SAMO #Giveaway',3204,116,0,False,https://twitter.com/nazmuli68435641/status/1467100061427376128
30,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',294,3,1157,True,https://twitter.com/KacperGrundema1/status/1467099536531374084
31,'Quem fizer o melhor tweet sobre a Party da #WStreamFinance na plataforma da @Polka_Party, ganha 1 #NFT da $tream e 1.000 $polp. Mete marchaaa🚀🚀🚀#Giveaway #NFT #NFTcomunity #NFTGiveaway #Crypto $tream #inovação $polp #trade #criptomoedas #investing #Mercados https://t.co/XkzcFo9WlJ',175,114,15,True,https://twitter.com/wilhafc/status/1467097625862320131
32,'O vencedor do tweet sobre a Party da @WStreamFinance na plataforma da @Polka_Party será anunciado após o nosso podcast de amanhã (25/11).#cryptocurrecy #Giveaway #NFT #NFTGiveaway $tream $polp #wstreamfinance #inovação #investing #criptomoedas https://t.co/iYl1IoOiBI',175,114,12,True,https://twitter.com/wilhafc/status/1467097604198707205
33,'- GENSHIN GIVEAWAY -Comemorando o aniversário do meu reizinho Kaeya, eu vou sortear um pacote de 60/120 GC (Ele merecia mais, mas cada um oferece o que pode)Pra participar:- Follow + RT- Comenta se você tem ele buildado e qual a build.Vou usar Codashop/Top Up https://t.co/Wcmjll020G',3110,328,16,True,https://twitter.com/np_mawi/status/1467096846992560135
34,'@BinanceBNFT 0xE926E68F3c0617E10dF8945DD1F38c026D9bD0f6@Mahmoo @Sulaima @damoo #Giveaway #Airdrop #Binance',34,0,0,False,https://twitter.com/Ahmdshameem1/status/1467093462738628615
35,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',74,7,1157,True,https://twitter.com/mrkm_misosoup/status/1467092806103875585
36,'0x6109875718c24dA8d1049Fc099587E6a74f4c3C7#Airdrop #Giveaway https://t.co/gqPSlWVgCY',1082,67,0,False,https://twitter.com/AZuhurov/status/1467091296670167040
37,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',286,9,1021,True,https://twitter.com/Chehste/status/1467091102729711616
38,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',118,13,1157,True,https://twitter.com/abacime/status/1467090764782088201
39,'@TomketPunks @tokonft 0x55f30549226cAFc5C1e18165e86D733D03168f05@CryptoTownEU @DopeWarzCrypto @NFT_GODLY #Giveaway #Crypto #NFTs #NFTGiveaway #TokoNFT #Binance',98,1,0,False,https://twitter.com/FinRal765/status/1467090760625311744
40,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',118,13,1021,True,https://twitter.com/abacime/status/1467090465807732738
41,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',81,0,1021,True,https://twitter.com/Suliman2527/status/1467086858828058624
42,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',4,0,1157,True,https://twitter.com/Ivan20493556/status/1467085558006665219
43,'@PreyankH @Herryfn desde qnd faz giveaway vc',255,157,3,False,https://twitter.com/N4DEZ/status/1467082480339537920
44,'@Nfraction_NFT LFG!!!@DerryArdiansyh7 @susisule00 @FirdausAndrian6 0x67D5D9eb4e92665aEA92F85Cd375e77197970c37#BinanceSmartChain #Giveaway #Airdrop #BSC #ETH $NFTA',813,36,0,False,https://twitter.com/Ademuklis9/status/1467081327132377092
45,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',38,0,1157,True,https://twitter.com/Sllek_HS/status/1467076551774818316
46,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',38,0,1021,True,https://twitter.com/Sllek_HS/status/1467076193254092800
47,'@TWICE_Giveaway @JYPETWICE SANA ESPRESSO#SCIENTIST #TWICE #트와이스  @JYPETWICE https://t.co/lWnk6AOnN3',957,454,0,False,https://twitter.com/yeonyeow0/status/1467075547444486144
48,'@TWICE_Giveaway @JYPETWICE MOMO ESPRESSO#SCIENTIST #TWICE #트와이스  @JYPETWICE https://t.co/p6JhCGUBDl',957,454,0,False,https://twitter.com/yeonyeow0/status/1467074749947727872
49,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',33,5,1157,True,https://twitter.com/nogaruka/status/1467072933902311426
50,'Essa dupla é incrível demais para ficar conosco.Marque um amigo que você é grato por este ano e concorra à um Headset A40 Special Edition e um mouse Logitech G PRO Wireless.Valide sua inscrição e veja outras maneiras de ganhar: https://t.co/5ulXSvEks1 https://t.co/7ZoX5NoLqF',139,9,132,True,https://twitter.com/noob3zona/status/1467072100750045185
51,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',105,0,1157,True,https://twitter.com/Peppsi13/status/1467069882848055299
52,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',105,0,1021,True,https://twitter.com/Peppsi13/status/1467069744520089607
53,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',112,3,1157,True,https://twitter.com/Schieii/status/1467069643038900224
54,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',59,0,1157,True,https://twitter.com/jcsanguz/status/1467065633372266501
55,'@TWICE_Giveaway @JYPETWICE Momo Mimosa #SCIENTIST #TWICE #트와이스 @JYPETWICE https://t.co/vT2RFtX8Vh',76,8,0,False,https://twitter.com/Julliarie/status/1467063052717608961
56,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',161,4,1157,True,https://twitter.com/Rinneth5/status/1467060066767544320
57,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',161,4,1021,True,https://twitter.com/Rinneth5/status/1467059899637063681
58,'@TWICE_Giveaway @JYPETWICE MOMO MIMOSA#SCIENTIST #TWICE #트와이스 @JYPETWICE https://t.co/EsFmcZksOf',1211,219,0,False,https://twitter.com/once_sheng/status/1467056273925410817
59,'@DAHUA_UK #giveaway fabulous prizes.',2553,102,0,False,https://twitter.com/Paradox369808/status/1467054564566315008
60,'0x6109875718c24dA8d1049Fc099587E6a74f4c3C7@coinmuhendisim@CryptoKemal@1goonrich#Airdrop #Giveaway #Airdrop #Giveaway #CryptocurrencyNews #BTC #Crypto https://t.co/Z2GDiE6nob',1082,67,0,False,https://twitter.com/AZuhurov/status/1467053483182411780
61,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',444,7,1157,True,https://twitter.com/asdfjklghqwerty/status/1467051591584796676
62,'0x6109875718c24dA8d1049Fc099587E6a74f4c3C7@coinmuhendisim @CryptoKemal @1goonrich#Airdrop #Giveaway #Airdrop #Giveaway #CryptocurrencyNews #BTC #Crypto #alts #ESPcoin #Money #community #Moon #Eth https://t.co/zTvymVJFuO',1082,67,0,False,https://twitter.com/AZuhurov/status/1467051504163078148
63,'0x6109875718c24dA8d1049Fc099587E6a74f4c3C7@coinmuhendisim @CryptoKemal @1goonrich #Airdrop #Giveaway #Airdrop #Giveaway #CryptocurrencyNews #BTC #Crypto #alts #ESPcoin #Money #community #Moon #Eth https://t.co/YWo0SJEUUG',1082,67,0,False,https://twitter.com/AZuhurov/status/1467051358851411972
64,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',41,1,1157,True,https://twitter.com/KamimYacel/status/1467046832396193794
65,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',242,1,1157,True,https://twitter.com/Mesanagrenos1/status/1467046812745936898
66,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',151,2,1157,True,https://twitter.com/NovaLuxe1/status/1467046329033670661
