id,Tweet,following,followers,actions,is_retweet,tweet_url
24,'BlackFriday slm – SLM THERMO | O melhor emagrecedor do Brasil! Vai te ajudar a perder até 10kg em 30 dias – Eu amo – SLM THERMO | Eliminar gordura, Acelerar ... https://t.co/kkFL0kQcjT https://t.co/AMoEFym6fZ',1978,550,0,False,https://twitter.com/Antonio11189230/status/1467115787462844416
25,'Obrigada por tudo @paolamackenzie!! Nenhum grupo de cupons supera o seu. Você fez a minha Blackfriday muito feliz. Obrigada @submarino e @canalshoptime EU COMPREI MUITOS LIVROS GRAÇAS A VCS 2!!! Arrasaram nos cupons. Amo os dois https://t.co/TjBLVUyewX',125,163,7,False,https://twitter.com/ravencIIw/status/1467113787836805121
26,'@magazineluiza Queria que meu pedido que eu comprei na blackfriday chegue antes do natal, "frete grátis" acho que pagando pelo frete ele chega mais rápido',271,74,1,False,https://twitter.com/bacmendonca/status/1467111306243280900
27,'Bom dia ,SabadouuuHj acordei igual md chefe,lacostado ? Não ,posturado e calma🥱Aproveitem a blackFriday p comprar vergonha na cara e bom senso ..Motivação do dia:Nois nasceu careca ,pelado sem dente ,oq vier é lucro 💚😜',16,2,0,False,https://twitter.com/VitoriaVelloso5/status/1467105646189367296
28,'abordando luiz pra vir na minha casa segunda pra cuidar dos cachorros e possíveis ligações no interfone durante a apresentação do tcc, pq eu comprei umas 8 coisas na blackfriday e a maioria tava pra entregar entre dia 6 e 7 (inclusive uma coisa chegou hoje ja fiz unboxing)',785,598,3,False,https://twitter.com/eilishupremacy/status/1467105163471204354
29,'@JoelFBelo Exatamente!! Hahaha é a blackfriday',377,271,3,False,https://twitter.com/meiofotografo/status/1467103475498733573
30,'@proconspoficial O procon se calou para o que a Casas Bahia fez com os seus consumidores na blackfriday??? Cadê a multa??',630,341,0,False,https://twitter.com/igorscfc/status/1467102142850904074
31,'#WONDERSHARE OFERTA 40% for Wondershare MobileTrans Código  [ SENGES4 ]  Válido: 31/12/2021 12:59:00  Mais cupons em:  &gt;&gt; https://t.co/5zqMnDdHus#informatica #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467101388601708553
32,'Quer ganhar R$10 de graça no PICPAY?  😱 😱Basta adicionar este código promocional 👉👉 3A2LYT 👈👈 e realizar uma compra no crédito!Aproveite! 🤗Tempo limitado!!#picpay #dinheiro #renda #cashback #blackfriday https://t.co/bATHbeHFKD',20,113,0,False,https://twitter.com/promo_mkd/status/1467098859901837312
33,'Promoção imperdível de lançamento , são apenas 24h com mais de 40% offVeja o link nos stories!#promoção #24h #blackfriday #sandalia #sandaliafeminina #juliette #sandaliabaixa #colorido #verao #love em Jaú https://t.co/g28TQzLDtw',114,95,0,False,https://twitter.com/atacadojosefa/status/1467095769756827649
