id,Tweet,following,followers,actions,is_retweet,tweet_url
0,'@LuizCos90153420 Pq os Péssimos Políticos não fazem as simples Lições de casa? Será q o senso Moral/Administrativo d fazer o Bom Uso do Dinheiro Público visando o Povo é tão difícil assim? Imaginem os Bilhões das Gestões Lula/Dilma usados em outros Países aplicados n Brasil? Pior, a Mídia ignora. https://t.co/QLHIdIt1Zk',1301,1356,0,False,https://twitter.com/NunesLuizz/status/1467146448168964100
1,'Diálogos da manhã aqui em casa:Mãe: Luan, a gente tem que aprender a limpar a piscina pra economozar dinheiro.Eu: Por mim, a gente já tinha cimentado essa piscina.Mãe: Você quer acabar com tudo, se duvidar, até com a gente!',754,929,1,False,https://twitter.com/luansabino20/status/1467145310589923331
2,'entrei num nicho de consumo quarentener muito específico: perfumaria tô seguindo uns 10 youtuber pra ouvir eles descrevendo nota de perfume qualquer dinheiro que pego eu gasto em perfume e creme por favor gente vem aqui em casa e quebra meu nariz é um favor que eu tô pedindo',475,445,0,False,https://twitter.com/donatafnes/status/1467145130943647744
3,'eu queria ir com a minha mãe mas não é só "adicionar mais uma passagem" é muito dinheiro então vou ficar em casa mesmo',12377,12229,0,False,https://twitter.com/kthpoety/status/1467144970511564809
4,'Queria uma forma de ganhar dinheiro em casa, deitado e sem fazer absolutamente nada',397,664,1,True,https://twitter.com/eujessih/status/1467144941147234314
5,'Quer dizer que as emendas secretas estão virando dinheiro de corrupção na mão da base aliada do governo?Não é possível, deve estar acontecendo algum engano!Pra completar, o deputado em questão é do PLPartido que Bolsonaro se filiou e que afirma "se sentir em casa"',843,50,363,True,https://twitter.com/ondaslivresnoar/status/1467144578180521991
6,'@guilherme_amado Achava que era somente fanática. Ela é muuuuuitoooo perigosa! Política, usa tráfico de influência direto.Bolsonaro se cercou de gente vil, oportunista. Ele próprio criou serpentes em casa - seus filhos -, suas mulheres engendraram formas de ele ter mais poder e dinheiro.',49,4,0,False,https://twitter.com/sonialaurapires/status/1467144128920264718
7,'E aí, depois de quase 7 ou 8 meses da pior fase da minha vida... De tentativa de suícidio, automultilação, crises de ansiedade, ficar sem casa, sem comida, sem amparo... perder quase 30kg... E de novo, sem nenhuma roupa que caiba de verdade em mim... sem dinheiro nem pro básico',4252,3442,1,False,https://twitter.com/Giovannizeit/status/1467142992347729921
8,'To trabalhando muito com legislação de armas néA 1 medida de controle de armas no país é burocracia, pq se vc tem tempo e dinheiro pra jogar no problema vc tem como (legalmente) ter 100 armas em casa100, sem meme mesmo. Basta ter grana e saco, mas rolaIsso é ridículo',430,167,3,True,https://twitter.com/pjmfoxy/status/1467142805667684359
9,'Adriana Varejão: “Como diria o prefeito Eduardo Paes, mentir sobre doutorado na Argentina é como usar dinheiro roubado para comprar uma casa em Maricá”',89,2408,0,False,https://twitter.com/politicasemfato/status/1467140962933694464
