id,Tweet,following,followers,actions,is_retweet,tweet_url
0,'Minha avó ganhou um iphone 12 num sorteio do plano de internet dela e eu ganho só desgosto nessa vida',0,13634,1,True,https://twitter.com/lojinhadoiphone/status/1467138574244098054
1,'Minha avó ganhou um iphone 12 num sorteio do plano de internet dela e eu ganho só desgosto nessa vida',84,86,1,False,https://twitter.com/marialcantaraz/status/1467138552668602379
2,'Ganhei um sorteio de iPhone, mas queria mês era ganhar o coração dele',0,13634,1,True,https://twitter.com/lojinhadoiphone/status/1467116993987977225
3,'Ganhei um sorteio de iPhone, mas queria mês era ganhar o coração dele',987,162,1,False,https://twitter.com/camilalover3/status/1467116972198539277
4,'Ganhei mais um sorteio de iPhone...',0,13634,1,True,https://twitter.com/lojinhadoiphone/status/1467115344317853698
5,'Ganhei mais um sorteio de iPhone...',987,162,1,False,https://twitter.com/camilalover3/status/1467115322817851397
6,'e meu pai que ganhou um Iphone 12 no sorteio, RABUDO',0,13634,1,True,https://twitter.com/lojinhadoiphone/status/1466910151215091716
7,'e meu pai que ganhou um Iphone 12 no sorteio, RABUDO',335,70,1,False,https://twitter.com/sccpnajulia/status/1466910129618567173
8,'@baudocectt Fazer um sorteio de iPhone no insta pra pagar salário do marleco',781,277,0,False,https://twitter.com/SoaresDouglas21/status/1466900555092144136
9,'#IPHONE13EMETROPOLITANAAinda mais que o sorteio cai exatamente no mesmo dia do meu aniversário, quando isso vai acontecer dnv? Ainda mais um Iphone https://t.co/AJlPxHiVtD',0,13634,1,True,https://twitter.com/lojinhadoiphone/status/1466872598202040338
10,'Sou MT fudido msm, o shopping tá com vários sorteios né, aí fui participar pra tentar ganhar um iPhone 12. EU GANHEI O SORTEIO E O MEU PREMIO FOI UM MÊS DE ESTACIONAMENTO GRÁTIS. EU MORO DO LADO DO SHOPPING  HAHAHAHAHAHAHAAHAHAHAHA',373,238,9,False,https://twitter.com/Nicksophfe/status/1466850021362618377
11,'Sorteio de iPhone, passa 15 desse ganha https://t.co/FF0jJK3GJI',0,13634,1,True,https://twitter.com/lojinhadoiphone/status/1466813128776331272
12,'Sorteio de iPhone, passa 15 desse ganha https://t.co/FF0jJK3GJI',498,1537,2,False,https://twitter.com/BinhoHenrii/status/1466813106093498370
13,'@oliveeira_alex Melhor que sorteio de iphone kkk',2082,708,2,False,https://twitter.com/LuizSilva710/status/1466807404578885642
14,'Partícipe do Sorteio de um iPhone 13 + AirPods!💙 Like &amp; RT📌 Marque os amigos🎁 iPhone 13 + AirPods https://t.co/n1ckXKf4BN#iPhone13 #Giveaway #Sorteio #Apple #Airpods #iPhone https://t.co/axZsAPZ7Dm',23,4,5,True,https://twitter.com/Nachanwo/status/1466804773554835456
15,'sorteio pago 5$ o numero1 ganhador - 1.000$2  ganhador - 500$3 ganhador - 200$quem anima?  se der bom vem iphone xr 128g novo p 1 ganhador em janeiro 🤪',1834,3509,6,True,https://twitter.com/Jukareiz/status/1466803858571681792
16,'to doando apoiador pra galera participar do sorteio do iphone 12 e ainda roubam 10 conto, é de cair o cu da bunda',480,969,1,False,https://twitter.com/debhc_/status/1466785123035193350
17,'gente, iphone nao é sinonimo de rico…de 2, 4…1-a pessoa trabalhou duro pra pagar2-a pessoa é boy e ganhou dos pais3-A pessoa roubou4-a pessoa ganhou num sorteio do insta  que odio, trabalhei meses p pagar o meu e vem zé falar merda',436,285,4,True,https://twitter.com/promisexs/status/1466780581287632902
18,'chega de fazer sorteio de iphone, comecem a sortear rinoplastia',285,57,2,True,https://twitter.com/flowerfairy_xx/status/1466768718688665600
19,'chega de fazer sorteio de iphone, comecem a sortear rinoplastia',0,13634,2,True,https://twitter.com/lojinhadoiphone/status/1466766081125765120
